Run,spots,bases,avgLength,size_MB,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,CenterName,Submission,MONTH,YEAR,AUTHOR,sample_source,sample_title,source_name,cell line,genotype,geo_loc_name,collection_date
SRR28976201,21109319,1055465950,50,568,SRX24505634,GSM8259484,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP506700,PRJNA1109711,39503847,"",SRS21253801,SAMN41278864,simple,9606,Homo sapiens,GSM8259484,"Mitochondria & Energy Metabolism, Immunobiology, University of Lausanne",SRA1863269,11,2024,Foged,K562,Ribo_Ctrl_1,K562,K562,Control,missing,missing
SRR28976200,31915293,1595764650,50,854,SRX24505635,GSM8259485,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP506700,PRJNA1109711,39503847,"",SRS21253802,SAMN41278863,simple,9606,Homo sapiens,GSM8259485,"Mitochondria & Energy Metabolism, Immunobiology, University of Lausanne",SRA1863269,11,2024,Foged,K562,Ribo_Ctrl_2,K562,K562,Control,missing,missing
SRR28976199,20896566,1044828300,50,561,SRX24505636,GSM8259486,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP506700,PRJNA1109711,39503847,"",SRS21253803,SAMN41278862,simple,9606,Homo sapiens,GSM8259486,"Mitochondria & Energy Metabolism, Immunobiology, University of Lausanne",SRA1863269,11,2024,Foged,K562,Ribo_Ctrl_3,K562,K562,Control,missing,missing
SRR28976198,21896852,1094842600,50,592,SRX24505637,GSM8259487,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP506700,PRJNA1109711,39503847,"",SRS21253804,SAMN41278861,simple,9606,Homo sapiens,GSM8259487,"Mitochondria & Energy Metabolism, Immunobiology, University of Lausanne",SRA1863269,11,2024,Foged,K562,Ribo_N6AMT1_1,K562,K562,sgN6AMT1,missing,missing
SRR28976197,20765791,1038289550,50,562,SRX24505638,GSM8259488,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP506700,PRJNA1109711,39503847,"",SRS21253805,SAMN41278860,simple,9606,Homo sapiens,GSM8259488,"Mitochondria & Energy Metabolism, Immunobiology, University of Lausanne",SRA1863269,11,2024,Foged,K562,Ribo_N6AMT1_2,K562,K562,sgN6AMT1,missing,missing
SRR28976196,22659742,1132987100,50,609,SRX24505639,GSM8259489,OTHER,other,OTHER,SINGLE,0,0,ILLUMINA,Illumina HiSeq 2500,SRP506700,PRJNA1109711,39503847,"",SRS21253806,SAMN41278859,simple,9606,Homo sapiens,GSM8259489,"Mitochondria & Energy Metabolism, Immunobiology, University of Lausanne",SRA1863269,11,2024,Foged,K562,Ribo_N6AMT1_3,K562,K562,sgN6AMT1,missing,missing
